RAPID,RPDS
HILLS,HLS
SIX,6
THREE,3
STREET,ST
CRESCENT,CRES
JUNCTION,JCT
FORKS,FRKS
ONE,1
BEACH,BCH
GARDENS,GDNS
SOUTH,S
MEADOW,MDWS
STREAM,STRM
BOTTOM,BTM
SOUTHEAST,SE
ROOM,RM
SUMMIT,SMT
BRANCH,BR
DEPARTMENT,DEPT
EIGHT,8
VALLEY,VLY
ROAD,RD
APARTMENT,APT
FLOOR,FL
GROVE,GRV
COVE,CV
PO BOX,P.O.BOX
BASEMENT,BSMT
ISLANDS,ISS
RIVER,RIV
SOUTHWEST,SW
HARBOR,HBR
LAKE,LK
LANDING,LNDG
PINES,PNES
RADIAL,RADL
CIRCLE,CIR
EXPRESSWAY,EXPY
CLIFF,CLFS
BURG,BG
NORTHEAST,NE
GARDEN,GDNS
HEIGHTS,HTS
LIGHT,LGT
P. O. BOX,P.O.BOX
FREEWAY,FWY
SHORE,SHR
SQUARE,SQ
SUITE,STE
AVENUE,AVE
MEADOWS,MDWS
INLET,INLT
MOUNTAIN,MTN
CENTER,CTR
TRAIL,TRL
FIELDS,FLDS
SPACE,SPC
WELLS,WLS
FALLS,FLS
PLAINS,PLNS
TEN,10
NINE,9
HILL,HL
BYPASS,BYP
VILLAGE,VLG
SPRINGS,SPGS
FLAT,FLT
LOAF,LF
BOULEVARD,BLVD
DIVIDE,DV
CLUB,CLB
SHOALS,SHLS
PLAZA,PLZ
COURSE,CRSE
PLACE,PL
LODGE,LDG
FERRY,FRY
FORD,FRD
P. O. DRAWER,P.O.DRAWER
HIGHWAY,HWY
GLEN,GLN
NECK,NCK
TRACE,TRCE
BAYOU,BYU
TRACK,TRAK
VIADUCT,VIA
P O BOX,P.O.BOX
SHOAL,SHL
CROSSING,XING
FIVE,5
VIEW,VW
HAVEN,HVN
COURT,CT
OFFICE,OFC
SPRING,SPG
MISSION,MSN
STATION,STA
BEND,BND
COURTS,CTS
CAPE,CPE
FORGE,FRG
CORNER,COR
STRAVENUE,STRA
PENTHOUSE,PH
LANE,LN
PO DRAWER,P.O.DRAWER
MANOR,MNR
POINT,PT
TUNNEL,TUNL
LAKES,LKS
CAUSEWAY,CSWY
TRAILER,TRLR
EAST,E
TERRACE,TER
VISTA,VIS
HANGER,HNGR
RIDGE,RDG
ESTATE,EST
CORNERS,CORS
MOUNT,MT
MILLS,MLS
TWO,2
FRONT,FRNT
WAY,WAY
P O DRAWER,P.O.DRAWER
UPPER,UPPR
CREEK,CRK
ISLAND,IS
TRAFFICWAY,TRFY
LOCKS,LCKS
KEY,KY
TURNPIKE,TPKE
DALE,DL
BRIDGE,BRG
LOWER,LOWR
EXTENSION,EXT
DRIVE,DR
GREEN,GRN
PINE,PNES
PARKWAY,PKWY
PLAIN,PLN
VILLE,VL
KNOLLS,KNLS
NORTH,N
ORCHARD,ORCH
ARCADE,ARC
DAM,DM
CAMP,CP
WELL,WLS
ALLEY,ALY
PORT,PRT
PRAIRIE,PR
FOREST,FRST
BLUFF,BLF
LOCK,LCKS
FOUR,4
CLIFFS,CLFS
UNION,UN
LOBBY,LBBY
FORK,FRK
RAPIDS,RPDS
RANCH,RNCH
BROOK,BRK
REST,RST
HOLLOW,HOLW
SHORES,SHRS
CANYON,CYN
NORTHWEST,NW
KNOLL,KNLS
MILL,ML
FORT,FT
BUILDING,BLDG
SEVEN,7
ANNEX,ANX
WEST,W
FIELD,FLD
GATEWAY,GTWY
